Gender,Age,FamilyName,Height,Weight
F,16,Pineda,157.48,61.23492
M,19,Mcknight,187.96,90.7184
F,15,Finley,160.02,68.0388
M,19,Schultz,175.26,73.9355
M,15,Haley,180.34,52.61667
M,19,Nielsen,172.72,65.77084
M,19,Randall,180.34,63.50288
M,18,Cook,172.72,56.699
F,18,Todd,167.64,58.96696
M,17,Stanton,182.88,71.21394
M,20,Yoder,172.72,90.7184
F,17,Sherman,154.94,49.89512
M,15,Dean,162.56,74.84268
M,16,Osborne,177.8,52.16308
M,17,Nicholson,170.18,69.39958
M,17,Calhoun,165.1,61.23492
F,14,Kramer,157.48,52.61667
F,18,Ayers,160.02,55.33822
M,15,Lam,167.64,58.96696
M,18,Mullins,185.42,81.64656
F,15,Carpenter,167.64,49.89512
M,15,Mccoy,175.26,86.18248
M,18,Massey,172.72,72.57472
F,15,Evans,157.48,52.16308
M,15,Robbins,167.64,58.96696
F,19,Sullivan,162.56,49.89512
M,15,Boyle,177.8,68.0388
M,18,Burke,182.88,83.91452
M,17,Castaneda,177.8,79.3786
M,18,Molina,167.64,90.7184
F,17,Watts,172.72,81.64656
M,16,Gray,157.48,61.23492
M,16,Douglas,160.02,54.43104
F,19,Mckinney,160.02,60.78133
M,17,Bradford,182.88,83.91452
M,19,Frey,182.88,72.57472
M,17,Dixon,172.72,72.57472
F,18,Morse,165.1,64.86366
F,18,Gutierrez,172.72,81.64656
F,17,Aguilar,165.1,58.96696
F,16,Ali,165.1,90.7184
F,19,Mays,165.1,88.45044
M,16,Guzman,167.64,72.57472
M,18,Skinner,177.8,88.45044
F,17,Moyer,160.02,54.43104
M,15,Barnes,175.26,54.43104
F,17,Hawkins,162.56,49.89512
F,15,Weber,170.18,63.50288
F,18,Hodge,167.64,47.17357
F,15,Montes,160.02,56.699
M,15,Welch,180.34,63.50288
F,17,Singleton,172.72,86.18248
F,15,Raymond,165.1,56.699
M,15,Davies,167.64,56.699
M,15,Preston,162.56,56.699
M,17,Harrison,182.88,111.13
M,15,Riley,187.96,106.5941
F,15,Miranda,157.48,58.96696
M,18,Suarez,172.72,61.23492
F,17,Yang,157.48,54.43104
F,17,Wyatt,160.02,70.30676
F,19,Nolan,165.1,58.96696
F,18,Mcneil,162.56,58.96696
M,19,Kelley,187.96,90.7184
M,16,Robertson,177.8,65.77084
M,17,Cummings,172.72,63.50288
M,15,Meadows,175.26,61.23492
F,16,Singh,154.94,56.24541
F,19,Hill,167.64,56.699
M,15,Webb,193.04,97.97587
F,15,Rogers,167.64,54.43104
F,20,Aguirre,157.48,46.71998
F,18,Riggs,165.1,73.4819
M,18,Hebert,175.26,74.84268
M,17,Gregory,185.42,74.38909
M,15,Benjamin,177.8,69.39958
M,15,Golden,190.5,78.01782
F,15,Prince,147.32,46.71998
F,17,Hays,160.02,61.23492
F,16,Osborn,172.72,72.57472
M,15,Soto,175.26,63.95647
F,18,Ferguson,170.18,65.77084
M,17,Powell,172.72,67.13162
F,19,Dawson,170.18,81.64656
M,19,Payne,177.8,68.0388
M,17,Liu,177.8,72.57472
F,17,Andrade,152.4,77.11064
M,14,Callahan,177.8,95.25432
F,20,Wise,167.64,79.3786
F,19,Pollard,162.56,58.96696
M,17,Potts,182.88,78.01782
F,18,Mcpherson,162.56,48.98794
M,19,Church,182.88,86.18248
F,17,Duarte,167.64,64.41006
M,15,Li,175.26,106.5941
M,18,Herrera,182.88,65.77084
F,16,Swanson,167.64,-0.90718
F,15,Navarro,177.8,-0.90718
F,15,Stokes,162.56,49.89512
M,17,Barker,177.8,88.90403
F,18,Carr,165.1,53.52386
M,17,Craig,182.88,90.7184
F,19,Hess,154.94,65.77084
F,19,Maddox,160.02,49.89512
F,18,Hudson,165.1,52.16308
M,16,Huynh,177.8,77.11064
F,17,Bright,167.64,72.57472
F,15,Norton,157.48,55.79182
F,18,Kent,165.1,61.23492
M,15,Leon,172.72,63.50288
M,18,Hammond,165.1,72.57472
F,16,Flynn,152.4,68.0388
M,16,Jordan,182.88,76.20346
F,19,Pearson,154.94,45.3592
F,15,Munoz,157.48,45.3592
M,16,Jensen,167.64,61.23492
M,17,Moody,170.18,70.30676
F,17,Bauer,157.48,61.23492
F,19,Carlson,162.56,90.7184
M,16,Valentine,167.64,63.50288
F,19,Wilson,157.48,83.91452
M,17,Galloway,165.1,56.699
M,19,Mayo,182.88,74.84268
F,15,Herring,162.56,43.09124
M,17,Chavez,182.88,70.30676
F,15,Mendez,165.1,49.89512
F,18,Dudley,170.18,74.84268
F,15,Saunders,165.1,59.87414
M,17,Silva,167.64,56.699
F,18,Barrett,162.56,54.43104
F,15,Mcdonald,160.02,58.96696
M,16,Mejia,167.64,58.96696
M,15,Reynolds,160.02,52.16308
F,19,Herman,149.86,72.57472
M,19,Duncan,162.56,68.0388
F,17,Miles,162.56,58.96696
F,17,Carson,154.94,54.43104
M,18,Goodwin,167.64,68.0388
F,19,Villarreal,167.64,113.398
M,16,Cannon,180.34,68.0388
M,17,Cochran,177.8,81.64656
M,15,Matthews,175.26,95.25432
F,15,Robles,154.94,47.62716
M,18,Lara,162.56,63.50288
M,18,Scott,160.02,58.96696
F,17,Wheeler,162.56,58.96696
M,19,York,180.34,95.25432
F,18,Hayes,160.02,59.87414
F,20,Blair,170.18,-0.90718
M,15,Chang,177.8,56.699
F,15,Keller,167.64,49.89512
M,15,Adams,165.1,56.699
M,19,Meza,170.18,75.74986
M,15,Velez,170.18,63.50288
M,19,Morton,175.26,58.96696
F,16,Strickland,165.1,55.33822
F,18,Spencer,162.56,51.2559
F,15,Marshall,152.4,48.98794
M,17,Walker,167.64,54.43104
F,18,Bryant,152.4,58.96696
M,19,Cherry,177.8,81.64656
F,16,Allison,152.4,47.62716
F,16,Poole,154.94,54.43104
M,15,Pratt,175.26,77.11064
F,16,Mooney,165.1,55.33822
M,16,Freeman,170.18,65.77084
F,15,Maynard,175.26,59.87414
M,19,Giles,177.8,70.30676
M,17,Arroyo,177.8,72.57472
F,16,Gallegos,170.18,47.62716
M,17,Colon,162.56,54.43104
F,15,Romero,154.94,46.26638
F,15,Fuller,154.94,49.89512
M,18,Yu,180.34,63.50288
F,16,Graham,177.8,63.50288
M,19,Snow,180.34,-0.90718
M,15,Perkins,172.72,-0.90718
M,16,Ho,182.88,58.96696
M,18,Ritter,180.34,70.30676
M,19,Holden,182.88,86.18248
M,16,Mcbride,172.72,58.96696
M,19,Baird,185.42,63.50288
M,16,Wells,167.64,63.50288
M,17,Thompson,175.26,61.68851
M,16,Pope,170.18,58.96696
F,19,Sloan,170.18,61.23492
F,18,Park,165.1,59.42055
M,17,Love,175.26,64.41006
F,18,Clark,162.56,54.43104
F,15,Price,170.18,-0.90718
F,17,Vance,160.02,53.07026
F,17,Nelson,149.86,95.25432
F,16,Savage,167.64,58.96696
M,18,Sheppard,167.64,-0.90718
F,17,Fields,160.02,40.82328
M,15,Townsend,165.1,54.43104
M,19,Hampton,182.88,77.11064
M,18,Alvarado,180.34,72.57472
M,16,Johnston,180.34,74.84268
M,14,Mata,170.18,61.23492
M,19,Morrison,167.64,54.43104
M,15,Brewer,165.1,49.89512
F,18,Wolfe,162.56,61.23492
M,18,Kerr,182.88,-0.90718
F,15,Cantu,160.02,63.50288
M,19,Marquez,175.26,81.64656
F,16,Stark,162.56,-0.45359
F,15,Rich,154.94,-0.45359
F,15,Glass,157.48,49.89512
F,19,Livingston,170.18,-0.90718
F,15,House,170.18,-0.45359
F,16,Stout,162.56,54.43104
M,17,Pacheco,182.88,81.64656
F,15,Pham,152.4,-0.45359
F,17,Lambert,154.94,49.89512
M,15,Bruce,165.1,68.0388
F,16,Ortiz,165.1,68.0388
F,15,Woodward,162.56,47.62716
F,18,Reilly,160.02,54.43104
F,16,Erickson,162.56,63.50288
F,19,Gentry,172.72,70.30676
M,16,Vega,177.8,81.64656
F,16,Delacruz,149.86,49.89512
F,19,Mcgee,175.26,-0.45359
F,19,Wright,160.02,56.699
M,18,Rice,167.64,72.57472
F,18,Wilkins,167.64,-0.45359
F,17,Jarvis,160.02,56.699
M,17,Melton,162.56,68.0388
F,17,Peters,165.1,61.23492
F,18,Stanley,172.72,61.23492
M,15,Oconnell,187.96,81.64656
F,17,Greer,162.56,52.61667
M,17,Warren,167.64,72.57472
F,19,Conner,165.1,63.50288
M,16,Kirby,172.72,58.96696
F,17,Krause,167.64,74.84268
M,18,Diaz,185.42,88.45044
F,17,Cross,152.4,40.82328
M,19,Reese,187.96,72.57472
M,19,Jacobson,190.5,90.7184
M,15,James,162.56,61.23492
F,19,Hoover,162.56,52.16308
F,17,Casey,157.48,51.2559
M,15,Cooper,165.1,51.2559
M,16,Jackson,182.88,68.0388
F,19,Santos,157.48,54.43104
M,19,Archer,157.48,49.89512
F,17,Patrick,160.02,44.45202
F,15,Leonard,167.64,51.2559
F,19,Meyer,172.72,-0.90718
M,17,Arellano,175.26,65.77084
M,16,Norman,182.88,59.87414
F,18,Duke,157.48,50.8023
F,18,Hayden,157.48,52.16308
M,17,Shields,162.56,56.699
M,15,Cowan,165.1,56.699
M,17,Cordova,177.8,90.7184
M,15,Jennings,152.4,-0.90718
M,15,Mcmahon,160.02,50.8023
M,15,Heath,160.02,49.89512
M,15,Knapp,170.18,64.41006
M,18,Mclaughlin,167.64,58.96696
M,16,Williams,162.56,63.50288
M,16,Lucas,175.26,68.0388
M,15,Carrillo,172.72,72.57472
F,18,Middleton,167.64,63.50288
F,17,Chapman,157.48,78.92501
F,17,Petty,160.02,53.07026
M,18,Pena,182.88,102.0582
M,16,Pruitt,177.8,65.77084
F,16,Villa,149.86,54.43104
M,15,Clayton,170.18,61.23492
M,19,Warner,198.12,117.9339
F,18,Richards,162.56,79.3786
F,15,Alvarez,162.56,58.05978
F,15,Grant,152.4,54.43104
F,17,Ponce,160.02,53.07026
F,19,Simmons,165.1,72.57472
M,18,Clay,167.64,68.0388
F,18,Charles,165.1,77.11064
M,15,Buck,165.1,-0.90718
M,18,Odom,180.34,79.3786
F,17,Washington,167.64,67.13162
M,16,Roberts,177.8,56.24541
F,15,Floyd,165.1,-0.90718
F,18,Fuentes,162.56,127.0058
M,18,Dickson,185.42,111.13
F,15,Crane,167.64,45.81279
M,15,Stephenson,182.88,69.85317
M,16,Davila,175.26,72.57472
F,19,Huerta,149.86,54.43104
M,15,Fry,172.72,95.25432
M,17,Chandler,172.72,69.85317
M,19,Hicks,182.88,88.45044
F,16,Haynes,157.48,48.08075
F,17,Mccormick,170.18,63.50288
F,18,Henry,170.18,61.23492
F,16,Levy,167.64,68.0388
M,19,Newton,170.18,63.04929
M,19,Ellison,170.18,72.57472
M,16,Moore,170.18,70.30676
M,15,Marsh,167.64,65.77084
M,15,Blankenship,157.48,63.50288
M,16,Nguyen,175.26,68.0388
M,17,Shah,177.8,58.96696
M,19,Parrish,175.26,69.39958
M,19,Foster,187.96,81.64656
F,17,George,172.72,56.699
M,15,Burch,177.8,61.23492
F,15,Conrad,167.64,56.699
F,15,Bernard,177.8,80.73938
M,19,Caldwell,182.88,72.57472
M,18,Bray,193.04,74.84268
F,16,Novak,165.1,58.96696
F,18,Lang,160.02,54.43104
M,19,Tapia,177.8,79.3786
F,19,Mcdaniel,175.26,88.45044
M,19,Howard,165.1,71.21394
F,19,Manning,167.64,72.57472
M,17,Mccann,187.96,74.84268
M,19,Cardenas,182.88,145.1494
F,19,Hendricks,167.64,-0.45359
F,18,Walter,172.72,63.50288
F,19,Fleming,152.4,47.17357
F,16,Zamora,165.1,58.96696
M,16,Alexander,175.26,68.0388
M,15,Clarke,185.42,70.30676
M,19,Blackwell,180.34,79.3786
M,17,Lin,177.8,79.3786
M,18,Arnold,167.64,61.23492
F,15,Potter,172.72,-0.90718
F,15,Hartman,165.1,52.61667
F,17,Baker,167.64,65.77084
F,18,Peck,160.02,63.50288
M,18,Reid,160.02,64.41006
F,15,Davenport,134.62,44.45202
M,18,Coffey,167.64,120.2019
M,16,Kane,167.64,74.38909
F,15,Powers,160.02,72.57472
M,19,Sweeney,180.34,79.3786
F,15,Lynn,157.48,53.52386
M,17,Lewis,193.04,70.30676
F,18,Mccall,165.1,68.0388
F,18,Cervantes,180.34,74.84268
M,16,Odonnell,187.96,81.64656
F,15,Lowe,167.64,74.84268
M,19,Blake,162.56,72.57472
M,17,Chambers,167.64,95.25432
F,18,Moss,162.56,65.77084
M,19,Cobb,170.18,74.84268
F,17,May,170.18,72.57472
M,16,Barber,160.02,72.57472
F,16,Fritz,157.48,64.86366
F,16,Trujillo,142.24,61.68851
F,15,Hamilton,157.48,56.699
F,19,King,160.02,58.96696
M,16,Glover,172.72,68.0388
F,18,Rivera,165.1,63.50288
F,17,Hines,160.02,86.18248
M,17,Larsen,185.42,79.3786
M,15,Arias,180.34,77.11064
M,16,Frye,177.8,79.83219
M,19,Vasquez,175.26,77.11064
M,17,Gould,170.18,72.57472
F,16,Rocha,172.72,46.71998
F,17,Thomas,152.4,49.89512
F,16,Obrien,152.4,46.26638
F,18,Khan,157.48,56.699
M,17,Ryan,157.48,49.89512
F,17,Smith,165.1,57.15259
F,15,Murillo,149.86,-0.90718
M,15,Bolton,170.18,57.15259
F,18,Brandt,154.94,58.96696
F,17,Camacho,154.94,47.17357
F,18,Rose,167.64,47.17357
M,19,Quinn,175.26,81.64656
F,16,Daniel,152.4,68.0388
F,17,Harvey,154.94,54.43104
F,15,French,157.48,45.81279
M,18,Ross,172.72,66.67802
M,17,Compton,180.34,70.30676
F,17,Farmer,152.4,54.43104
F,17,Berg,157.48,54.43104
F,17,Davis,165.1,70.30676
F,19,Hardy,165.1,61.23492
M,15,Larson,177.8,84.8217
M,16,Galvan,180.34,106.5941
M,19,Stone,172.72,63.50288
F,17,Mckee,152.4,45.3592
M,17,Weiss,167.64,66.67802
F,19,Humphrey,165.1,77.11064
M,15,Hernandez,172.72,90.26481
F,17,Franklin,180.34,61.23492
F,17,Whitaker,160.02,56.699
M,17,Martinez,185.42,127.0058
M,15,Anthony,177.8,81.64656
F,16,Gill,157.48,46.71998
F,16,Short,172.72,57.60618
M,15,Hodges,190.5,74.38909
M,15,Padilla,165.1,54.43104
F,18,Barr,162.56,49.89512
F,19,Collins,170.18,56.699
F,17,Vazquez,152.4,48.98794
M,17,Dennis,175.26,117.9339
M,16,Pitts,172.72,99.79024
M,17,Tyler,182.88,104.3262
F,15,Nichols,167.64,54.43104
M,15,Henson,185.42,73.02831
M,17,Morales,180.34,65.77084
F,15,Frost,157.48,45.3592
M,18,Keith,170.18,105.2333
F,15,Duffy,167.64,52.16308
M,19,Oneill,175.26,61.23492
M,19,Myers,170.18,72.57472
F,18,Mason,152.4,77.11064
M,17,Bridges,167.64,64.41006
F,16,Salas,157.48,46.71998
M,16,Brown,172.72,54.43104
M,18,Patton,177.8,77.11064
F,16,Lee,149.86,49.89512
F,19,Vincent,157.48,-0.90718
M,18,Bond,167.64,77.11064
M,16,Oconnor,162.56,63.50288
M,16,Knight,177.8,58.96696
F,19,Brennan,162.56,72.57472
M,18,Hunt,170.18,58.96696
M,17,Hughes,175.26,79.3786
M,16,Santana,172.72,68.0388
M,17,Gallagher,172.72,72.57472
F,17,David,157.48,58.96696
F,17,Stein,167.64,61.23492
F,17,Montoya,167.64,61.23492
F,16,Ward,162.56,54.43104
F,18,Mills,160.02,62.5957
F,19,Wilkinson,160.02,45.3592
M,16,Dougherty,185.42,83.91452
M,17,Krueger,187.96,99.79024
F,16,Rivas,175.26,-0.45359
F,18,Berry,160.02,49.89512
F,17,Mathews,165.1,61.23492
F,15,Phelps,170.18,58.96696
M,16,Castillo,182.88,74.84268
M,18,Tate,185.42,83.91452
M,18,Black,177.8,77.11064
M,19,Edwards,177.8,58.96696
M,15,Booker,193.04,95.25432
F,15,Holmes,160.02,45.3592
M,17,Patel,180.34,74.84268
M,15,Mann,162.56,49.89512
M,18,Hoffman,170.18,72.57472
M,16,Owens,177.8,68.0388
M,15,Harmon,175.26,58.96696
F,17,Fitzgerald,154.94,61.23492
F,18,Johns,149.86,47.17357
M,17,Summers,187.96,68.0388
F,15,Simon,170.18,52.16308
F,18,Wolf,172.72,61.23492
M,15,Williamson,180.34,77.11064
F,16,Patterson,162.56,49.89512
M,17,Blackburn,172.72,58.96696
M,16,Mcintyre,182.88,66.22443
M,17,Boyer,170.18,65.77084
F,17,Elliott,157.48,47.17357
M,19,Sims,165.1,52.16308
M,18,Drake,167.64,56.699
M,19,Greene,167.64,77.11064
M,16,Moreno,190.5,95.25432
F,18,Baldwin,162.56,47.17357
F,17,Reed,160.02,49.89512
M,17,Cline,170.18,63.50288
M,17,Russo,175.26,72.57472
M,15,Everett,177.8,63.50288
M,16,Franco,175.26,68.0388
F,19,Huff,167.64,58.96696
M,16,Booth,167.64,61.23492
M,17,Curry,182.88,99.79024
F,16,Torres,170.18,87.99685
F,18,Watkins,175.26,58.96696
F,17,Sosa,165.1,74.84268
F,16,Walls,165.1,54.43104
M,20,Braun,180.34,131.5417
F,17,Coleman,167.64,63.50288
M,16,Hale,185.42,83.91452
M,16,Monroe,175.26,65.77084
M,16,Buchanan,177.8,81.19297
F,17,White,160.02,56.699
F,15,Dalton,157.48,63.50288
F,18,Wade,162.56,82.10015
F,20,Tucker,162.56,80.73938
F,18,Guerrero,149.86,43.09124
F,19,Mcclure,172.72,54.43104
F,17,Gardner,172.72,53.52386
M,18,Case,177.8,72.57472
F,18,Rodgers,160.02,56.24541
M,15,Cooke,172.72,68.94598
M,15,Roman,170.18,77.11064
F,18,Gilbert,157.48,65.77084
F,16,Maxwell,152.4,72.57472
M,19,Page,198.12,70.30676
F,17,Daniels,162.56,54.43104
M,16,Deleon,185.42,66.67802
F,17,Mckenzie,172.72,77.11064
F,18,Pierce,170.18,56.699
M,15,Kline,170.18,60.32774
M,15,Eaton,187.96,81.64656
M,15,Dyer,185.42,95.25432
F,19,Orozco,165.1,67.13162
F,17,Atkinson,165.1,53.07026
M,15,Gordon,172.72,61.23492
F,16,Hanson,162.56,54.43104
M,18,Chase,170.18,77.11064
M,16,Schroeder,172.72,70.30676
F,18,Bender,162.56,68.0388
M,17,Ramsey,180.34,90.7184
F,19,Brady,170.18,53.52386
M,17,Schmitt,175.26,77.11064
F,17,Stevens,160.02,68.0388
M,17,Benitez,177.8,77.11064
M,17,Mayer,182.88,75.74986
F,15,Mora,152.4,39.00891
M,18,Willis,180.34,65.77084
M,18,Murray,187.96,104.3262
F,16,Zavala,165.1,54.43104
F,16,Hobbs,170.18,63.50288
F,19,Calderon,154.94,43.09124
F,18,Harrington,170.18,56.699
M,16,Sutton,182.88,70.30676
F,18,Fisher,160.02,61.23492
M,15,Mcmillan,160.02,49.89512
F,18,Valdez,165.1,56.699
M,17,Donovan,190.5,81.64656
M,19,Noble,190.5,79.3786
M,17,Dunlap,190.5,106.5941
M,15,Turner,185.42,56.699
M,18,Chen,180.34,91.62558
M,17,Chan,177.8,68.0388
F,15,Roy,154.94,39.4625
F,17,Phillips,154.94,44.90561
F,15,Small,157.48,47.62716
M,15,Miller,182.88,85.2753
F,19,Lester,170.18,63.50288
M,17,Glenn,165.1,59.87414
M,19,Hatfield,182.88,86.18248
F,15,Bradshaw,160.02,53.97745
M,19,Kelly,170.18,64.86366
F,17,Sanchez,167.64,63.50288
M,19,Jones,182.88,86.18248
M,17,Rhodes,172.72,66.22443
M,16,Bentley,172.72,65.77084
F,18,Terrell,170.18,58.96696
F,17,Gibbs,162.56,52.16308
F,15,Downs,162.56,54.43104
M,16,Mcconnell,180.34,74.84268
M,20,Ashley,187.96,106.5941
M,17,Howell,185.42,72.57472
F,19,Mcclain,175.26,72.57472
M,17,Wallace,180.34,81.64656
F,16,Maldonado,162.56,63.50288
F,18,Curtis,165.1,69.39958
F,15,Bush,160.02,54.43104
F,16,Mcgrath,167.64,102.5118
M,15,Macias,157.48,44.45202
F,17,Spence,165.1,78.01782
M,19,Christensen,200.66,95.25432
F,15,Mullen,160.02,49.89512
F,19,Buckley,167.64,60.78133
M,16,Ruiz,175.26,63.50288
F,15,Rodriguez,157.48,58.96696
M,17,English,170.18,63.50288
M,16,Howe,175.26,108.8621
M,17,Farrell,182.88,68.0388
F,16,Day,160.02,72.57472
M,17,Reyes,180.34,81.64656
F,15,Benton,160.02,48.53434
M,19,Long,177.8,68.0388
M,19,Branch,172.72,63.50288
M,17,Wiley,203.2,65.77084
M,15,Briggs,172.72,63.50288
M,15,Chaney,193.04,77.11064
F,19,Dillon,157.48,68.0388
M,17,Estrada,175.26,127.0058
M,17,Hancock,167.64,59.87414
F,19,Hickman,157.48,68.0388
F,18,Vaughan,157.48,50.34871
F,19,Wilcox,157.48,65.77084
M,17,Little,172.72,65.77084
F,18,Costa,172.72,81.64656
F,17,Wang,177.8,73.4819
M,15,Walton,182.88,68.0388
M,17,Mccarty,170.18,63.50288
F,16,Proctor,154.94,58.96696
M,15,Acosta,172.72,70.30676
F,15,Hansen,162.56,59.87414
M,17,Higgins,172.72,68.0388
M,18,Cain,182.88,72.57472
M,17,Mcintosh,187.96,71.21394
M,18,Campbell,190.5,97.52228
M,19,Medina,177.8,95.25432
F,18,Mercado,177.8,77.11064
M,16,Rios,180.34,77.11064
M,16,Mcguire,180.34,61.23492
M,17,Haney,180.34,68.0388
F,19,Atkins,160.02,63.50288
M,17,Dickerson,182.88,79.3786
F,15,Wall,167.64,95.25432
F,16,Barry,162.56,58.96696
M,19,Santiago,180.34,81.64656
F,15,Trevino,157.48,58.05978
M,18,Carroll,190.5,81.64656
F,15,Brooks,177.8,58.96696
F,18,Lopez,160.02,58.96696
F,19,Moses,162.56,61.23492
F,15,Harding,162.56,55.79182
M,17,Jimenez,193.04,99.79024
M,18,Norris,165.1,55.79182
F,18,Cole,160.02,43.09124
F,14,Esparza,167.64,61.23492
F,17,Randolph,175.26,72.57472
F,17,Mitchell,170.18,56.699
M,17,Delgado,180.34,56.699
M,17,Yates,177.8,59.42055
M,19,Ibarra,185.42,70.30676
M,17,Ballard,177.8,70.30676
M,18,Mccarthy,187.96,86.18248
F,16,Merritt,160.02,58.96696
F,16,Good,167.64,61.23492
M,17,Weeks,185.42,62.5957
F,14,Zhang,165.1,83.91452
M,16,Holt,172.72,65.77084
M,16,Werner,185.42,85.72889
F,17,Andersen,157.48,63.50288
F,15,Butler,172.72,77.11064
F,19,Shaffer,165.1,53.07026
M,17,Richardson,177.8,86.18248
M,16,Anderson,190.5,106.5941
F,17,Lutz,167.64,52.16308
M,17,Bryan,187.96,77.11064
F,18,Murphy,152.4,54.43104
M,19,Carney,177.8,58.96696
M,18,Waller,175.26,72.57472
M,16,Beard,185.42,80.28578
M,15,Escobar,177.8,70.30676
F,18,Oliver,160.02,49.89512
M,15,Cox,182.88,68.0388
F,19,Cuevas,172.72,68.0388
F,15,Whitehead,157.48,52.16308
F,15,Olson,170.18,56.699
F,17,Vargas,160.02,63.50288
F,16,Nash,160.02,47.62716
F,16,Shelton,170.18,-0.45359
M,15,Graves,170.18,58.96696
M,18,Houston,170.18,79.3786
F,17,Jacobs,157.48,53.07026
M,15,Crosby,170.18,66.67802
M,18,Bullock,182.88,72.57472
M,14,Ramos,157.48,49.89512
M,17,Pittman,170.18,61.23492
M,19,Bradley,180.34,81.64656
M,16,Griffith,182.88,70.30676
F,17,Flores,172.72,47.62716
M,18,Mathis,180.34,74.84268
M,16,Kaiser,182.88,72.57472
M,17,Pace,180.34,65.77084
F,17,Burgess,172.72,58.96696
F,16,Horton,162.56,52.16308
F,18,Browning,165.1,52.16308
M,16,Berger,180.34,65.77084
M,18,Austin,170.18,70.30676
M,17,Lynch,175.26,63.50288
F,15,Fowler,157.48,46.26638
F,16,Whitney,167.64,59.87414
M,17,Beasley,180.34,70.30676
M,19,Woodard,190.5,95.25432
M,16,Waters,180.34,74.84268
F,17,Shepard,160.02,73.4819
M,16,Owen,172.72,80.73938
F,19,Logan,170.18,65.77084
M,18,Cantrell,182.88,70.30676
F,18,Joyce,180.34,58.96696
F,16,Weaver,172.72,55.33822
F,19,Malone,170.18,49.89512
F,15,Thornton,160.02,64.41006
F,18,Garner,167.64,69.39958
F,17,Frazier,154.94,59.87414
M,16,Barton,165.1,78.47142
F,18,Bean,165.1,51.70949
M,19,Riddle,175.26,61.23492
M,15,Cameron,165.1,59.87414
F,19,Barnett,165.1,73.4819
F,19,Becker,170.18,81.64656
M,14,Terry,170.18,51.70949
F,19,Barron,162.56,55.33822
F,17,Harper,162.56,58.51337
M,16,Lawrence,177.8,70.30676
F,16,Valenzuela,167.64,63.50288
M,17,Roach,170.18,49.89512
M,15,Gonzales,177.8,74.84268
F,16,Horn,170.18,61.23492
F,16,Roth,175.26,56.699
M,15,Serrano,170.18,54.43104
F,17,Ortega,170.18,58.96696
M,19,Taylor,185.42,86.18248
M,19,Moon,165.1,72.57472
F,18,Moran,157.48,47.62716
F,19,Villanueva,165.1,58.96696
F,15,Boyd,170.18,58.96696
F,17,Shaw,170.18,58.96696
M,16,Ayala,182.88,81.64656
M,19,Richmond,177.8,70.30676
F,16,Watson,162.56,45.3592
M,19,Gross,165.1,63.50288
F,18,Bell,162.56,53.52386
M,17,Rosales,175.26,63.50288
F,15,Bird,167.64,55.79182
F,19,Burns,172.72,104.3262
F,18,Mclean,157.48,56.699
F,16,Haas,160.02,58.96696
M,16,Figueroa,177.8,68.0388
F,15,Levine,157.48,54.43104
F,16,Bailey,162.56,57.15259
F,18,Velasquez,170.18,58.96696
M,19,Mccullough,182.88,79.3786
F,18,Gay,172.72,70.30676
F,16,Nunez,162.56,-0.90718
M,17,Doyle,167.64,58.96696
M,17,Macdonald,182.88,90.7184
M,15,Ewing,175.26,68.0388
F,19,Farley,160.02,65.77084
F,15,Gomez,165.1,41.27687
F,17,Conway,154.94,-0.90718
